Subject;Predicate;"	Object"
Series of Posts by Volunteer Wuyi;dc:creator;Wuyi
Series of Posts by Volunteer Wuyi;dcterms:issued;07/02/2020
Series of Posts by Volunteer Wuyi;dcterms:valid;22/02/2020
Series of Posts by Volunteer Wuyi;schema:contentLocation;Xuzhou
Series of Posts by Volunteer Wuyi;dcterms:spatial;Weibo
Series of Posts by Volunteer Wuyi;crm:P55_has_current_location;China Digital Times
Series of Posts by Volunteer Wuyi;crm:P2_has_type;Digital Text
Series of Posts by Volunteer Wuyi;crm:P72:has_Language;Chinese
