Subject;Predicate;"	Object"
Joint Petition Letter;crm: P14_carried_out_by;Shudong1984
Joint Petition Letter;crm: P105_right_held_by;State Bureau for Letters and Visits
Joint Petition Letter;"	schema:datePublished";20/04/2020
Joint Petition Letter;"	schema:dateCreated";08/03/2020
Joint Petition Letter;crm:P2_has_type;Letter
Joint Petition Letter;crm:P72_has_Title;彻查徐州铁链女事件 保障公民免于恐惧的自由 呼吁书
Joint Petition Letter;"	crm:P72:has_Language";Chinese
Joint Petition Letter;"	crm:P16_used_specific_object";"	Petition"
